species_label,species,diameter_class,wood_bark,new_label,lab_unique,T_C,T_N,Tannins,NDF_per,ADF_per,ADL_per,Ca_g_kg,K_g_kg,Mg_g_kg,Mn_mg_kg,P_g_kg,T_sugar_per,T_Si_g_kg
29,Celastrus sp2,2.0 cm,wood,LW36SR1,C2024-0098,483,4.61,1,87.36,68.9,17.29,8.85,3.41,0.55,8.3,0.3,1.87,0.39
29,Celastrus sp2,2.0 cm,wood,LW36SR2,C2024-0099,484,4.4,0.66,87.09,68.55,15.73,7.81,3.17,0.49,6.8,0.27,1.7,0.39
29,Celastrus sp2,4.0 cm,wood,LW36BR1,C2024-0100,484,4.56,0.87,87.51,69.08,15.67,9.4,3.46,0.56,8.6,0.3,2.05,0.4
29,Celastrus sp2,4.0 cm,wood,LW36BR2,C2024-0101,485,4.3,0.78,87.21,68.39,15.65,7.99,3.26,0.5,7.3,0.28,2.07,0.52
30,Phyllanthus reticulatus,2.0 cm,wood,LW37SR1,C2024-0102,484,9.22,1.43,81.57,70.64,27.98,18.01,3.99,1.1,28.4,0.73,1.21,0.39
30,Phyllanthus reticulatus,2.0 cm,wood,LW37SR2,C2024-0103,483,8.95,1.38,81.34,70.51,27.66,15.47,3.86,1.05,26.9,0.71,1.15,0.27
30,Phyllanthus reticulatus,4.0 cm,wood,LW37BR1,C2024-0104,480,9.24,1.71,81.52,70.81,28.16,20.35,4.08,1.13,30.4,0.71,1.09,0.26
30,Phyllanthus reticulatus,4.0 cm,wood,LW37BR2,C2024-0105,485,9.37,1.63,81.24,70.55,27.84,18.08,4.03,1.1,29,0.71,1.4,0.52
24,Toxocarpus fuscus,2.0 cm,bark,LB31SR1,C2024-0106,426,27.72,1.59,73.04,53.26,18.69,48.36,7.47,2.27,468,0.62,1,3.01
24,Toxocarpus fuscus,2.0 cm,bark,LB31SR2,C2024-0107,418,30.81,1.87,63.55,41.81,15.09,51.94,7.71,2.26,460,0.65,2.44,1.96
24,Toxocarpus fuscus,4.0 cm,bark,LB31BR1,C2024-0108,422,27.58,1.12,72.07,52.7,20.52,49.51,7.78,2.32,486,0.63,1.03,2.08
24,Toxocarpus fuscus,4.0 cm,bark,LB31BR2,C2024-0109,428,30.16,1.9,62.34,40.15,15.45,42.24,7.84,2.21,449,0.62,2.48,0.65
25,Dalbergia stipulacea,2.0 cm,bark,LB32SR1,C2024-0110,457,22.3,1.68,65.59,53.64,19.61,26.3,4.61,1,410,0.69,2.77,4.38
