species_label,species,diameter_class,wood_bark,new_label,lab_unique,T_C,T_N,Tannins,NDF_per,ADF_per,ADL_per,Ca_g_kg,K_g_kg,Mg_g_kg,Mn_mg_kg,P_g_kg,T_sugar_per,T_Si_g_kg
15,Derris taiwaniana,2.0 cm,wood,LW25SR1,C2023-5319,476,13.16,0.88,80.58,63.81,16.48,14.02,3.81,0.51,81.3,0.55,2.21,0.31
15,Derris taiwaniana,2.0 cm,wood,LW25SR2,C2023-5320,469,13,1.37,79,60.31,16.4,18.43,3.8,0.72,141.7,0.57,2.04,0.41
15,Derris taiwaniana,4.0 cm,wood,LW25BR1,C2023-5321,473,13.29,1.19,79.31,60.74,16.36,16.97,3.69,0.79,156,1.21,2.04,0.33
15,Derris taiwaniana,4.0 cm,wood,LW25BR2,C2023-5322,474,13.66,1,80.17,62.7,16.6,15.56,3.89,0.53,84.7,0.58,2.25,0.11
20,Urceola rosea,2.0 cm,wood,LW26SR1,C2023-5323,485,5.75,0.32,88.65,73.89,30.15,13.61,4.14,0.26,22.4,0.84,0.79,0.55
20,Urceola rosea,2.0 cm,wood,LW26SR2,C2023-5324,483,5.03,0.08,87.77,73.13,28.87,15.18,3.84,0.27,15.2,0.8,1.12,0.68
20,Urceola rosea,4.0 cm,wood,LW26BR1,C2023-5325,482,5.72,0.45,88.61,73.98,29.78,15.97,4.22,0.28,23.3,0.86,0.74,0.77
20,Urceola rosea,4.0 cm,wood,LW26BR2,C2023-5326,481,5.12,0.07,87.45,72.63,31.15,15.22,3.75,0.25,18.4,0.78,1.07,0.22
21,Bridelia stipularis,2.0 cm,wood,LW27SR1,C2023-5327,471,3.66,3.1,88.2,73.58,16.82,21.09,5.43,0.49,61.5,0.67,0.22,0.22
21,Bridelia stipularis,2.0 cm,wood,LW27SR2,C2023-5328,476,3.19,8.8,78.93,65.64,16.58,17.19,3.73,0.53,70.2,0.67,1.36,0.43
21,Bridelia stipularis,4.0 cm,wood,LW27BR1,C2023-5329,480,3.99,5.92,77.57,64.29,16.93,16.15,5.25,0.44,62.8,0.77,1.12,0.54
21,Bridelia stipularis,4.0 cm,wood,LW27BR2,C2023-5330,479,4.1,6.86,76.97,64.11,16.7,17.36,4.41,0.47,66.2,0.91,1.26,0.54
22,Cayratia trifolia,2.0 cm,wood,LW28SR1,C2023-5331,472,7.91,3.14,84.65,70.61,17.68,23.12,11.47,1.15,69.8,1.67,0.54,0.77
22,Cayratia trifolia,2.0 cm,wood,LW28SR2,C2023-5332,466,11.72,0.84,89.39,74.46,25.42,29.01,17.79,2.49,20.1,3.03,0.27,0.33
22,Cayratia trifolia,4.0 cm,wood,LW28BR1,C2023-5333,477,4.1,6.27,75.73,62.65,16.66,18.68,4.72,0.46,71.3,0.76,1.01,0.11
22,Cayratia trifolia,4.0 cm,wood,LW28BR2,C2023-5334,470,12.14,0.71,89.04,73.88,25.68,27.59,17.14,2.45,13.4,3.05,0.25,0.76
23,Pegia nitida,2.0 cm,wood,LW30SR1,C2023-5339,473,5.02,1.82,84.05,66.95,19.23,10.99,9,1.56,10.3,0.56,0.6,0.22
23,Pegia nitida,2.0 cm,wood,LW30SR2,C2023-5340,469,5.59,2.99,81.28,64.54,18.68,11.84,7.88,1.53,17.1,0.55,0.9,0.11
23,Pegia nitida,4.0 cm,wood,LW30BR1,C2023-5341,473,6.38,2.83,78.47,62.7,18.63,16.8,8.01,1.34,13.6,0.85,0.72,0.11
23,Pegia nitida,4.0 cm,wood,LW30BR2,C2023-5342,477,6.52,3.15,79.72,63.31,18.99,13.5,7.98,1.25,7.6,1.08,0.81,0.33
1,Senegalia pruinescens,2.0 cm,bark,LB00SR1,C2023-5343,479,16.27,5.9,72.15,59.7,14.14,21.3,7.72,1.83,46.5,0.73,2.89,0.88
1,Senegalia pruinescens,2.0 cm,bark,LB00SR2,C2023-5344,482,17.27,4.58,71.4,58.08,13.97,21.92,7.06,1.87,46.8,0.76,2.91,0.11
1,Senegalia pruinescens,4.0 cm,bark,LB00BR1,C2023-5345,481,16.35,6.05,71.72,59.62,13.44,20.46,8.32,1.88,55.9,0.73,2.9,1.61
1,Senegalia pruinescens,4.0 cm,bark,LB00BR2,C2023-5346,481,17.3,4.21,67.56,54.43,16.53,23.46,7.38,1.9,46.3,0.81,2.94,0.33
2,Marsdenia tenacissima,2.0 cm,bark,LB02SR2,C2023-5347,435,13.11,0.56,68.88,53.18,24.92,51.64,7.54,1.84,40.4,0.64,1.48,0.98
2,Marsdenia tenacissima,2.0 cm,bark,LB02BR1,C2023-5348,434,17.03,0.3,74.1,57.13,24.62,51.18,8.11,1.1,31.7,0.94,1.76,1.64
3,Piper flaviflorum,4.0 cm,bark,LB03SR2,C2023-5349,426,16.31,0.28,73.63,56.81,25.17,36.87,11.7,1.43,34.9,1.47,0.57,1.21
3,Piper flaviflorum,4.0 cm,bark,LB03BR2,C2023-5350,432,16.44,0.22,76.58,62.39,27.16,32.05,12.74,1.32,38.4,1.36,0.63,11.03
29,Celastrus sp1,2.0 cm,bark,LB04SR1,C2023-5351,444,8.98,0.81,82.08,66.29,27.43,54.67,7.7,1.93,16.1,0.6,0.39,0.77
29,Celastrus sp2,4.0 cm,bark,LB04BR1-1,C2023-5352,442,9.02,0.64,82.4,67.52,29.38,54.51,7.76,1.79,15.8,0.59,0.37,1.32
29,Celastrus sp2,4.0 cm,bark,LB04BR2,C2023-5353,441,8.75,0.93,81.75,66.59,26.55,57.7,6.95,2.1,17.8,0.63,0.43,0.94
4,Celastrus paniculatus,2.0 cm,bark,LB05SR1,C2023-5354,466,9.8,3.84,61.06,51.28,26.2,28.64,6.61,2.6,27.2,0.99,1.95,0.98
4,Celastrus monospermus,4.0 cm,bark,LB05BR1,C2023-5355,468,9.35,3.4,58.56,48.61,25.21,26.17,6.31,2.5,23.1,1.02,1.55,0.68
4,Celastrus monospermus,4.0 cm,bark,LB05BR2,C2023-5356,466,9.58,3.97,61.02,51.03,26.03,29.35,6.42,2.68,23.7,0.98,2.03,0.44
5,Celastrus monospermus,4.0 cm,bark,LB06BR1,C2023-5357,480,10.01,1.33,66.24,53.59,28.38,35.5,4.25,0.77,14,0.59,1.02,1.1
6,Aspidopterys obcordata,2.0 cm,bark,LB07SR1,C2023-5358,416,10.65,4.12,74.27,60.93,23.24,65.62,5.92,4.02,335.1,0.8,2.91,1.54
6,Aspidopterys obcordata,2.0 cm,bark,LB07SR2,C2023-5359,395,10.62,4.17,68.62,55.89,24.18,78.12,5.99,4.03,334.9,0.76,2.8,0.77
6,Aspidopterys obcordata,4.0 cm,bark,LB07BR1,C2023-5360,439,10.78,3.14,76.92,62.98,23.34,57.42,5.66,3.95,332.8,0.81,3.63,0.66
6,Aspidopterys obcordata,4.0 cm,bark,LB07BR2,C2023-5361,409,11.02,4.71,71.72,59.26,25.35,69.55,6.1,4.28,387.3,0.77,2.45,1.98
7,Ventilago leiocarpa,2.0 cm,bark,LB11SR1,C2023-5369,446,13.64,0.39,82,67.2,17.25,47.96,7.25,1.39,28.5,1.39,0.33,0.86
7,Ventilago leiocarpa,4.0 cm,bark,LB11BR1,C2023-5370,442,13.02,0.26,80.89,66.04,20.26,49.09,7.39,1.35,27.8,1.23,0.38,0.54
7,Ventilago leiocarpa,4.0 cm,bark,LB11BR2,C2023-5371,447,13.81,0.48,83.61,68.8,20.35,49.89,7.53,1.37,28.7,1.44,0.33,0.55
8,Pottsia laxiflora,2.0 cm,bark,LB13SR1,C2023-5375,416,11.12,1.85,68.79,56.09,6.67,27.68,16.9,4.37,79.8,1.68,5.02,0.88
8,Pottsia laxiflora,2.0 cm,bark,LB13SR2,C2023-5376,424,11.22,1.85,71.7,58.9,4.61,26.6,21.39,4.69,78.5,1.63,4.98,1.31
8,Pottsia laxiflora,4.0 cm,bark,LB13BR1,C2023-5377,426,11.51,1.64,70.95,57.76,6.13,26.31,18.09,4.85,81.7,1.59,4.55,1.98
8,Pottsia laxiflora,4.0 cm,bark,LB13BR2,C2023-5378,423,11.48,1.77,71.48,58.29,6.08,27.46,19.21,4.63,78.5,1.62,4.72,1.76
10,Ichnocarpus frutenscens,2.0 cm,bark,LB16SR2,C2023-5379,426,9.15,5.76,62.47,50.27,15.94,51.76,7.92,2.16,59.4,0.5,4.13,2.07
10,Ichnocarpus frutenscens,4.0 cm,bark,LB16BR1,C2023-5380,421,9.07,5.49,67.41,55.39,17.09,59.63,7.48,2.09,60.4,0.5,3.7,1.98
10,Ichnocarpus frutenscens,4.0 cm,bark,LB16BR2,C2023-5381,428,9.38,5.57,62.09,49.86,16.14,53.8,8.07,2.17,59.3,0.49,4.36,1.53
11,Ayenia grandifolia,2.0 cm,bark,LB17SR1,C2023-5382,426,10.73,4.18,61.59,48.46,8.31,41.66,17.63,3.5,35.9,3.46,4.61,1.86
11,Ayenia grandifolia,2.0 cm,bark,LB17SR2,C2023-5383,418,9.23,2.68,72.44,57.43,13.36,45.37,17.91,2.75,39.9,3.03,2.45,1.2
11,Ayenia grandifolia,4.0 cm,bark,LB17BR1,C2023-5384,422,10.24,4.15,71.92,57.62,5.94,43.68,14.43,3.27,33.8,3.31,4.48,1.76
11,Ayenia grandifolia,4.0 cm,bark,LB17BR2,C2023-5385,426,10.43,3.41,57.23,45.6,9.01,37.32,14.77,3.42,33.3,3.44,4.67,1.2
12,Celastrus sp1,2.0 cm,bark,LB18SR2,C2023-5386,452,6.33,1.21,74.49,63.05,29.9,44.1,8.63,1.11,18.5,0.41,0.48,1.21
12,Celastrus sp1,4.0 cm,bark,LB18BR1,C2023-5387,442,6.57,1.15,80.45,66.18,28.88,58.37,6.76,1.44,10.7,0.33,0.44,1.09
16,Millettia leptobotrya,2.0 cm,bark,LB19SR1,C2023-5388,496,19.81,1.6,70.83,56.62,23.85,17.9,3.33,1.24,171.3,0.48,0.59,0.99
16,Millettia leptobotrya,2.0 cm,bark,LB19SR2,C2023-5389,497,18.85,2.61,71.1,56.26,16.77,16.09,3.19,0.94,158.7,0.41,0.61,0.99
16,Millettia leptobotrya,4.0 cm,bark,LB19BR1,C2023-5390,496,19.46,1.66,70.95,55.64,19.14,18.9,3.25,1.23,168.3,0.47,0.59,1.1
16,Millettia leptobotrya,4.0 cm,bark,LB19BR2,C2023-5391,497,20.26,3.73,74.12,59.63,23.03,18.34,3.37,0.97,162.1,0.45,0.65,0.98
17,Gnetum montanum,4.0 cm,bark,LB20BR1,C2023-5392,425,12.17,0.43,59.33,51.09,9.88,68.73,5.24,0.67,154.7,0.51,0.27,4.54
17,Gnetum montanum,4.0 cm,bark,LB20BR2,C2023-5393,435,13.18,0.41,69.72,61.01,8.82,65.95,5.03,0.62,152.3,0.52,0.21,1.42
13,Gouania leptostachya,2.0 cm,bark,LB21SR1,C2023-5394,453,10.42,5.7,66.4,53.43,8.77,35.85,6.9,2.74,54.1,0.81,2.35,1.42
13,Gouania leptostachya,2.0 cm,bark,LB21SR2,C2023-5395,452,11.44,5.52,61.06,47.77,16.62,32.29,10.91,2.39,64.1,1.43,3.04,0.67
13,Gouania leptostachya,4.0 cm,bark,LB21BR1,C2023-5396,453,11.08,4.91,67.48,52.84,7.72,35.42,8.79,2.81,55.1,0.94,1.86,1.21
13,Gouania leptostachya,4.0 cm,bark,LB21BR2,C2023-5397,456,10.4,6.42,67.98,55.44,8.18,34.62,8.36,2.66,52.5,0.69,2.92,0.44
18,Iodes vitiginea,2.0 cm,bark,LB23SR1,C2023-5398,418,14.35,0.04,90.51,74.77,37.43,63.17,3.92,1.8,134.3,1.94,0.33,1.86
18,Iodes vitiginea,2.0 cm,bark,LB23SR2,C2023-5399,393,15.25,0.14,86.75,71.54,34,71.67,5.87,1.57,52.3,0.94,0.26,1.55
18,Iodes vitiginea,4.0 cm,bark,LB23BR1,C2023-5400,408,14.49,0.03,89.7,74.44,37.95,68.54,3.64,1.75,150.6,1.53,0.18,2.51
18,Iodes vitiginea,4.0 cm,bark,LB23BR2,C2023-5401,430,13.44,0.02,89.68,73.96,36.93,55.3,3.92,1.69,117.3,1.82,0.16,1.3
19,Cheniella touranensis,2.0 cm,bark,LB24SR1,C2023-5402,413,10.1,2.74,69.05,60.48,6.36,60.55,6.67,2.44,150.5,0.7,0.7,0.98
19,Cheniella touranensis,2.0 cm,bark,LB24SR2,C2023-5403,433,10.25,6.51,61.97,53.74,6.78,46.77,6.9,2.62,194.8,0.63,0.92,0.98
19,Cheniella touranensis,4.0 cm,bark,LB24BR1,C2023-5404,424,9.73,4.25,71.68,62.74,7.12,53.21,6.73,2.54,161.2,0.64,0.86,1.05
15,Cheniella touranensis,4.0 cm,bark,LB24BR2,C2023-5405,441,9.97,6.13,62.51,54.58,6.62,41.03,7.18,2.68,180.2,0.6,1.04,0.77
19,Derris taiwaniana,2.0 cm,bark,LB25SR1,C2023-5406,466,21.95,5.09,71.28,57.58,14.76,22.96,4.52,0.92,228.5,0.59,1.82,2.18
15,Derris taiwaniana,2.0 cm,bark,LB25SR2,C2023-5407,465,21,4.06,67.55,53.38,14.38,22.63,5.18,0.89,205.7,0.62,1.29,3.64
